elapsed_ms,request_id,tenant_id,status_code,latency_ms,prompt_tokens,completion_tokens,model_requested,model_served,fallback_used,queue_depth
0,r001,tenant-a,200,420,105,44,stable-chat,stable-chat,false,2
120,r002,tenant-a,200,510,88,39,stable-chat,stable-chat,false,3
210,r003,tenant-b,200,460,97,42,stable-chat,stable-chat,false,3
310,r004,tenant-a,200,590,120,55,stable-chat,stable-chat,false,4
420,r005,tenant-c,200,530,111,41,stable-chat,stable-chat,false,5
520,r006,tenant-a,503,1850,95,0,stable-chat,stable-chat,false,19
630,r007,tenant-a,200,2410,102,48,stable-chat,hosted-fallback,true,24
740,r008,tenant-b,200,2650,99,51,stable-chat,hosted-fallback,true,28
850,r009,tenant-a,503,1990,92,0,stable-chat,stable-chat,false,31
970,r010,tenant-c,200,2810,108,57,stable-chat,hosted-fallback,true,35
1080,r011,tenant-a,429,740,82,0,stable-chat,stable-chat,false,38
1190,r012,tenant-a,200,2960,116,61,stable-chat,hosted-fallback,true,41
1310,r013,tenant-b,200,2720,104,50,stable-chat,hosted-fallback,true,43
1430,r014,tenant-a,429,690,87,0,stable-chat,stable-chat,false,45
1540,r015,tenant-c,200,2540,110,53,stable-chat,hosted-fallback,true,42
1660,r016,tenant-a,200,2290,93,47,stable-chat,hosted-fallback,true,39
1780,r017,tenant-b,200,1710,90,43,stable-chat,stable-chat,false,26
1900,r018,tenant-a,200,1210,101,46,stable-chat,stable-chat,false,17
2030,r019,tenant-c,200,820,98,45,stable-chat,stable-chat,false,9
2150,r020,tenant-a,200,610,89,40,stable-chat,stable-chat,false,4

